inflationAdjusted,detail,context,year,gender,original cost,note,source,link 1,link 2,
"1,000",Trafficked Haitian immigrants sold in Chile,Chile,2013,both,,,"Havoscope, The Santiago Times",http://www.havocscope.com/trafficking-selling-price-in-chile/,http://www.santiagotimes.cl/chile/human-rights-a-law/25775-chilean-authorities-thwart-human-trafficking-operation,
"7,300","Bride to China, purchased from Myanmar",China,2010,female,"50,000 Yuan",,"Havoscope, Global Post",http://www.havocscope.com/women-of-myanmar-sold-in-china/,http://www.globalpost.com/dispatch/china/100928/burma-myanmar-trafficking-border,
"40,000","Nigerian woman, Italy","Nigeria, Italy",2012,female,,"Women from Nigeria: $40,000 to $78,000 to pimp to be released in Italy","Havoscope, Voice of America",http://www.havocscope.com/nigerian-women-trafficked-into-italy/,http://www.voanews.com/content/most-trafficked-into-italys-sex-trade-nigerians-150206105/370025.html,
"78,000","Nigerian woman, Italy","Nigeria, Italy",2012,female,,"Women from Nigeria: $40,000 to $78,000 to pimp to be released in Italy","Havoscope, Voice of America",http://www.havocscope.com/nigerian-women-trafficked-into-italy/,http://www.voanews.com/content/most-trafficked-into-italys-sex-trade-nigerians-150206105/370025.html,
"1,066","Woman, 20s (N Korea)",North Korea,2011,female,"7,000 Yuan",,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,http://www.rfa.org/english/news/korea/trafficking-03042011151800.html,
761,"Woman, 30s (N Korea)",North Korea,2011,female,"5,000 Yuan",,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,http://www.rfa.org/english/news/korea/trafficking-03042011151800.html,
457,"Woman, 40s (N Korea)",North Korea,2011,female,"3,000 Yuan",,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,http://www.rfa.org/english/news/korea/trafficking-03042011151800.html,
46,Burmese child soldier,Burma,2004,male,"50,000 kyat","using exchange rate given in doc for 20,000 kyat in 2004; 50,000 kyat = $37.5 in 2004, then inflation-adjusted to 2013",Human Rights Watch; US inflation adjustment,http://www.hrw.org/sites/default/files/reports/burma1007webwcover.pdf,http://www.usinflationcalculator.com/,
78,forced labour in illegal brickyards,China,2011,both,500 yuan,"500 yuan, about $75. Inflation-adjusted for 2013.",Time; US inflation adjustment,http://world.time.com/2011/09/08/another-slavery-scandal-uncovered-in-central-china/,http://www.usinflationcalculator.com/,
200,"temporary ""pleasure marriage"" to a Syrian refugee",Syria,2012,female,500 - 1000 Saudi riyals,most take place in Jordan,The National; Washington Post,http://www.thenational.ae/thenationalconversation/comment/online-trafficking-of-syrian-women-shames-all-involved,http://www.washingtonpost.com/world/middle_east/in-a-jordan-camp-outsiders-seek-syrian-brides/2012/11/23/b7e7a31e-3544-11e2-9cfa-e41bac906cc9_story.html,
110,cost of FREEDOM from forced cotton labour,Uzbekistan,2012,both,,"In Angren district, parents were told that if they wanted to exempt their children from the harvest they would either have to pay a $110 fee or withdraw their children's application to high school. All government employees are eligible to be sent to pick cotton. A refusal can mean the loss of a job, pay or benefits.",Guardian,http://www.guardian.co.uk/business/2012/dec/15/cotton-child-labour-uzbekistan-fashion,,
