inflationAdjusted,klass,label,detail,context,year,gender,original cost,note,source,link 1,link 2,
"45,000",modern,Trafficked person in Cambodia or Thailand,Trafficked person in Cambodia or Thailand,"Cambodia, Thailand",2013,both ,,"Each victim generates  <$45,000 in gross revenue for the human trafficker (market of $181 Million a year)","Havoscope, _ÑÒTransnational Organized Crime in East Asia and the Pacific: A Threat Assessment,_Ñ UNODC, April 2013, Executive Summary, page iv",http://www.havocscope.com/income-from-trafficking-victim-in-cambodia-and-thailand/,http://www.unodc.org/unodc/en/frontpage/2013/April/first-comprehensive-unodc-study-on-transnational-organized-crime-threats-in-east-asia-and-the-pacific.html?ref=fs4,
45,modern,Indian Child,"Child, India (for labour, sex work)",India,2007,both,,"$45, versus $350 for buffalo. ""most of them end up working as laboreres or commercial sex workers._Ñ","Havoscope, Reuters",http://www.havocscope.com/buffaloes-in-india-cost-350-children-cost-45/,http://www.reuters.com/article/2007/04/03/us-india-children-trafficking-idUSDEL15186520070403,
300,modern,Iraqi Child (lowest),"Child, Iraq (lowest)","Iraq, international trafficking",2009,both,ë£200,lowest price,"Havoscope, Guardian",http://www.havocscope.com/prices-of-children-in-iraq/,http://www.guardian.co.uk/world/2009/apr/06/child-trafficking-iraq,
"5,500",modern,Iraqi Child (highest),"Child, Iraq (highest)","Iraq, international trafficking",2009.5,both,ë£4000,highest price,"Havoscope, Guardian",http://www.havocscope.com/prices-of-children-in-iraq/,http://www.guardian.co.uk/world/2009/apr/06/child-trafficking-iraq,
600,modern,Child Soldier in Mali,"Child soldier, Mali",Mali ,2012,male,,Mali Islamist groups,"Havoscope, BBC",http://www.havocscope.com/price-to-buy-child-soldier-in-mali/,http://www.bbc.co.uk/news/world-africa-19905905,
"25,000",modern,Smuggled Child in UK,"Child, UK",UK,2011.3,both,ë£1600,"Smuggled children sold to brothels, domestic servitude, forced labour","Havoscope, BBC",http://www.havocscope.com/price-of-children-in-the-uk/,http://www.bbc.co.uk/news/uk-politics-13440736,
"6,000",modern,Romanian Girl,"Romanian girl sold into prostitution, Western Europe maximum",Romania,2010,female ,5000 euros,highest price. Mainly in Brussels,"Havoscope, Sofia News Agency",http://www.havocscope.com/price-of-romanian-girls/,http://www.novinite.com/view_news.php?id=116564,
"1,000",modern,Haitian in Chile,Trafficked Haitian immigrants sold in Chile,Chile,2013,both,,,"Havoscope, The Santiago Times",http://www.havocscope.com/trafficking-selling-price-in-chile/,http://www.santiagotimes.cl/chile/human-rights-a-law/25775-chilean-authorities-thwart-human-trafficking-operation,
"7,300",modern,Burmese Bride in China,"Bride to China, purchased from Myanmar",China,2010.5,female,"50,000 Yuan",,"Havoscope, Global Post",http://www.havocscope.com/women-of-myanmar-sold-in-china/,http://www.globalpost.com/dispatch/china/100928/burma-myanmar-trafficking-border,
"40,000",modern,Nigerian Woman in Italy,"Nigerian woman, Italy","Nigeria, Italy",2012.3,female,,"Women from Nigeria: $40,000 to $78,000 to pimp to be released in Italy","Havoscope, Voice of America",http://www.havocscope.com/nigerian-women-trafficked-into-italy/,http://www.voanews.com/content/most-trafficked-into-italys-sex-trade-nigerians-150206105/370025.html,
"78,000",modern,Nigerian Woman in Italy,"Nigerian woman, Italy","Nigeria, Italy",2012.4,female,,"Women from Nigeria: $40,000 to $78,000 to pimp to be released in Italy","Havoscope, Voice of America",http://www.havocscope.com/nigerian-women-trafficked-into-italy/,http://www.voanews.com/content/most-trafficked-into-italys-sex-trade-nigerians-150206105/370025.html,
"1,066",modern,Woman in North Korea (20's),"Woman, 20s (N Korea)",North Korea,2011.4,female,"7,000 Yuan",,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,http://www.rfa.org/english/news/korea/trafficking-03042011151800.html,
761,modern,Woman in North Korea (30's),"Woman, 30s (N Korea)",North Korea,2011.5,female,"5,000 Yuan",,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,http://www.rfa.org/english/news/korea/trafficking-03042011151800.html,
457,modern,Woman in North Korea (40's),"Woman, 40s (N Korea)",North Korea,2011.6,female,"3,000 Yuan",,"Havoscope, Radio Free Asia",http://www.havocscope.com/price-of-north-korean-women-by-age/,http://www.rfa.org/english/news/korea/trafficking-03042011151800.html,
46,modern,Burmese Child Soldier,Burmese child soldier,Burma,2004,male,"50,000 kyat","using exchange rate given in doc for 20,000 kyat in 2004; 50,000 kyat = $37.5 in 2004, then inflation-adjusted to 2013",Human Rights Watch; US inflation adjustment,http://www.hrw.org/sites/default/files/reports/burma1007webwcover.pdf,http://www.usinflationcalculator.com/,
78,modern,Chinese Brickyard Laborer,forced labour in illegal brickyards,China,2011.7,both,500 yuan,"500 yuan, about $75. Inflation-adjusted for 2013.",Time; US inflation adjustment,http://world.time.com/2011/09/08/another-slavery-scandal-uncovered-in-central-china/,http://www.usinflationcalculator.com/,
200,modern,"""Pleasure Marriage"" to Syrian Refugee","temporary ""pleasure marriage"" to a Syrian refugee",Syria,2012.5,female,500 - 1000 Saudi riyals,most take place in Jordan,The National; Washington Post,http://www.thenational.ae/thenationalconversation/comment/online-trafficking-of-syrian-women-shames-all-involved,http://www.washingtonpost.com/world/middle_east/in-a-jordan-camp-outsiders-seek-syrian-brides/2012/11/23/b7e7a31e-3544-11e2-9cfa-e41bac906cc9_story.html,
110,modern,Uzbek Cotton Laborer,cost of FREEDOM from forced cotton labour,Uzbekistan,2012.6,both,,"In Angren district, parents were told that if they wanted to exempt their children from the harvest they would either have to pay a $110 fee or withdraw their children's application to high school. All government employees are eligible to be sent to pick cotton. A refusal can mean the loss of a job, pay or benefits.",Guardian,http://www.guardian.co.uk/business/2012/dec/15/cotton-child-labour-uzbekistan-fashion,,
